English,CEFR,gender,word,wordWithNiqqud,transliteration,definition,example,exampleWithNiqqud,translation
"care, treatment",B1,masculine,טיפול,טִפּוּל,tipúl,טיפול רפואי או אישי,הרופא עשה לי טיפול ברגל.,הָרוֹפֵא עָשָׂה לִי טִפּוּל בָּרֶגֶל.,The doctor gave me treatment for my leg.
career,A2,feminine,קריירה,קַרְיֵירָה,karyéra,דרך מקצועית בחיים,האשה מתחלת קרירה חדשה.,הָאִשָּׁה מְתַחֶלֶת קַרְיֵרָה חֲדָשָׁה.,The woman is starting a new career.
"carpet, rug",A2,masculine,שטיח,שָׁטִיחַ,shatíaħ,כיסוי בד על הרצפה,השטיח הזה יפה מאוד.,הַשָּׁטִיחַ הַזֶּה יָפֶה מְאוֹד.,This carpet is very beautiful.
carriage,B2,,מרכבה,מֶרְכָּבָה,merkavá,,המרכבה העתיקה הוצגה במוזיאון.,הַמֶּרְכָּבָה הָעֲתִיקָה הוּצְגָה בַּמּוּזֵיאוֹן.,The ancient chariot was displayed in the museum.
cash,B1,masculine,מזומן,מְזוּמָּן,mezumán,כסף במזומן,"אין לי מזומן, רק כרטיס אשראי.","אֵין לִי מְזֻמָּן, רַק כַּרְטִיס אַשְׁרַאי.","I don’t have cash, only a credit card."
cat,A1,masculine,חתול,חָתוּל,ħatúl,יצור מבוית קטן השייך למשפחת החתולים,לחתול שלי יש עיניים כחולות.,לַחָתוּל שֶׁלִּי יֵשׁ עֵינַיִם כְּחוּלוֹת.,My cat has blue eyes.
caterpillar,B2,masculine,זחל,זָחַל,záħal,,הזחל הפך לפרפר לאחר זמן מה.,הַזַּחַל הָפַךְ לְפַרְפָּר לְאַחַר זְמַן מָה.,The caterpillar turned into a butterfly after some time.
cathedral,B2,feminine,קתדרלה,קַתֶּדְרָלָה,katedrala,,הקתדרלה נבנתה בסגנון גותי.,הַקָּתֶדְרָלָה נִבְנְתָה בְּסִגְנוֹן גּוֹתִי.,The cathedral was built in a Gothic style.
cause,B1,verb,גרם,גָּרַם,garám,גרם למשהו לקרות,המשאית גרמה לפקק תנועה.,הַמַּשָּׂאִית גָּרְמָה לְפַקָּק תְּנוּעָה.,The truck caused a traffic jam.
cave,B1,feminine,מערה,מְעָרָה,miará,חלל טבעי בהר או באדמה,יש מערות רבות בהרים.,יֵשׁ מְעָרוֹת רַבּוֹת בֶּהָרִים.,There are many caves in the mountains.
"CD, compact disc",B2,masculine,תקליטור,תַּקְלִיטוֹר,taklitór,,מצאתי תקליטור ישן עם מוזיקה קלאסית.,מָצָאתִי תַּקְלִיטוֹר יָשָׁן עִם מוּסִיקָה קְלָאסִית.,I found an old CD with classical music.
cedar,B1,masculine,ארז,אֶרֶז,érez,עץ מחט גבוה,ביערות לבנון גדלים עצי ארז.,בִּיעַרוֹת לָבוֹנּוֹן גְּדֵלִים עֵצֵי אֶרֶז.,Cedar trees grow in the forests of Lebanon.
celebrate,A2,verb,חגג,חָגַג,khagág,עשה חגיגה,הם חגגו את החג במשפחה.,הֵם חָגְגוּ אֶת הַחַג בַּמִּשְׁפָּחָה.,They celebrated the holiday with family.
cell phone,A2,masculine,פלאפון,פֶּלֶאוֹפוֹן,pélefon,מכשיר טלפון נייד,הוא שכח את הפלאפון שלו בבית.,הוּא שָׁכַח אֶת הַפֶּלֶאְפוֹן שֶׁלּוֹ בַּבַּיִת.,He forgot his cellphone at home.
cemetery,A2,masculine,בית קברות,בֵּית קְבָרוֹת,béit kvarót,שטח שבו קוברים מתים,הסבתא קבורה בבית הקברות.,הַסָּבְתָא קְבוּרָה בְּבֵית הַקְּבָרוֹת.,Grandmother is buried in the cemetery.
center,A2,masculine,מרכז,מֶרְכָּז,merkáz,אזור עיקרי שבו מתרכזים דברים,במרכז יש חנויות רבות.,בַּמֶּרְכָּז יֵשׁ חֲנוּיוֹת רַבּוֹת.,There are many shops in the center.
central,A2,masculine,מרכזי,מֶרְכָּזִי,merkazí,שייך למרכז,העיר הזאת היא מרכזית במדינה.,הָעִיר הַזֹּאת הִיא מֶרְכָּזִית בַּמְּדִינָה.,This city is central in the country.
central bank,B1,masculine,בנק מרכזי,בַּנְק מֶרְכָּזִי,bank merkazí,הבנק הראשי במדינה,הבנק המרכזי קובע את הריבית.,הַבַּנָּק הַמֶּרְכָּזִי קוֹבֵעַ אֶת הָרִיבִּית.,The central bank sets the interest rate.
century,A2,feminine,מאה,מֵאָה,meá,תקופה של מאה שנים,המאה העשרים ואחת מלאה בטכנולוגיה.,הַמֵּאָה הָעֶשְׂרִים וְאַחַת מְלֵאָה בְּטֶכְנוֹלוֹגְיָה.,The 21st century is full of technology.
certain,B1,adjective,ודאי,וַדַּאי,vadaí,ברור ומובטח,"אין ספק, זה בוודאי נכון.","אֵין סָפֵק, זֶה בְּוַדַּאי נָכוֹן.","No doubt, this is certainly true."
"certainly, surely",A2,adverb,בוודאי,בְּוַדַּאי,bvadái ,"בהחלט, בוודאות",היא תבוא לבדאי לחתונה.,הִיא תָּבוֹא לְבַדַּאי לַחֲתֻנָּה.,She will definitely come to the wedding.
chair,A1,masculine,כיסא,כִּסֵּא,kisé,רהיט לישיבה,יש כיסא בחדר.,יֵשׁ כִּסֵּא בַּחֶדֶר.,There is a chair in the room.
challah,A2,feminine,חלה,חַלָּה,ħalá,לחם קלוע לשבת וחגים,לשבת אני אוכל חלה.,לְשַׁבָּת אֲנִי אוֹכֵל חַלָּה.,"On Shabbat, I eat challah."
change,A2,masculine,שינוי,שִׁינוּי,shinúi,מעבר מדבר אחד לאחר,המזגן עשה שינוי בטמפרטורה.,הַמִּזְגָּן עָשָׂה שִׁנּוּי בַּטֶּמְפֶּרָטוּרָה.,The air conditioner made a change in temperature.
change,B1,verb,שינה,שֵׁינָה,shiná,שינה מצב או מראה,הוא שינה את הדירה שלו לחודרה יפה.,הוּא שִׁנָּה אֶת הַדִּירָה שֶׁלוֹ לְחוֹדְרָה יָפָה.,He changed his apartment into a beautiful room.
change,B2,verb,השתנה,הִשְׁתַּנָּה,hishtaná,,המזג השתנה בפתאומיות במהלך היום.,הַמֶּזֶג הִשְׁתַּנָּה בִּפְתַאֲמִיּוּת בְּמַהֲלַךְ הַיּוֹם.,The weather changed suddenly during the day.
chaos,B2,masculine,כאוס,כָּאוֹס,ká'os,,לאחר המהפכה נוצר כאוס ברחובות.,לְאַחַר הַמַּהְפֵּכָה נוֹצַר כָּאוֹס בָּרְחוֹבוֹת.,"After the revolution, chaos broke out in the streets."
chaotic,C,adjective,כאוטי,כָּאוֹטִי,ka'óti,בעל אופי של חוסר סדר,המצב הפוליטי נעשה כאוטי.,הַמַּצָּב הַפּוֹלִיטִי נַעֲשָׂה כָּאוֹטִי.,The political situation became chaotic.
"chapter, episode",A2,masculine,פרק,פֶּרֶק,pérek,חלק מספר או תוכנית,הפרק הזה מעניין מאוד.,הַפֶּרֶק הַזֶּה מְעַנְיֵן מְאוֹד.,This chapter is very interesting.
charity,B2,feminine,צדקה,צְדָקָה,tsdaká,,העמותה חילקה צדקה לנזקקים.,הָעֲמוּתָה חִילְּקָה צְדָקָה לַנִּזְקָקִים.,The organization distributed charity to those in need.
charm,B2,verb,הקסים,הִקְסִים,hiksím,,הנוף הקסום הקסים את כל התיירים.,הַנּוֹף הַקָּסוּם הִקְסִים אֶת כָּל הַתַּיָּרִים.,The magical scenery enchanted all the tourists.
charming,B1,adjective,מקסים,מַקְסִים,maksím,נעים ומלא קסם,הנוף בעיר הזאת מקסים בעיקרו בקיץ.,הַנּוֹף בָּעִיר הַזֹּאת מַקְסִים בְּעִקָּרוֹ בַּקַּיִץ.,"The view in this city is charming, especially in the summer."
"cheap, inexpensive",A2,adjective,זול,זוֹל,zol,שאינו יקר,המחיר הזה זול.,הַמַּחִיר הַזֶּה זוֹל.,This price is cheap.
cheapen,B1,verb,הוזיל,הוֹזִיל,hozíl,הפחית מחיר,הממשלה הוזילה את מחירי התחבורה.,הַמֶּמְשָׁלָה הוֹזִילָה אֶת מְחִירֵי הַתַּחְבּוּרָה.,The government cheapened transportation costs.
cheese,A1,feminine,גבינה,גְּבִינָה,gviná,מזון חלבי רך או קשה,אני אוהב גבינה לבנה.,אֲנִי אוֹהֵב גְּבִינָה לְבָנָה.,I like white cheese.
cheesecake,A2,feminine,עוגת גבינה,עוּגַת גְּבִינָה,ugát gviná,עוגה מחומר חלבי,העוגה הזאת עוגת גבינה טעימה.,הָעֻגָּה הַזֹּאת עוּגַת גְּבִינָה טְעִימָה.,This cake is a delicious cheesecake.
chest,B1,masculine,חזה,חָזֶה,ħazé,החלק העליון של הגוף,החזה שלי כואב אחרי האימון.,הַחָזֶה שֶׁלִּי כּוֹאֵב אַחֲרֵי הָאִמּוּן.,My chest hurts after the workout.
chestnut,B2,masculine,ערמון,עַרְמוֹן,armón,,בעונות החורף נמצא ערמון בעצים.,בְּעוֹנוֹת הַחֹרֶף נִמְצָא עַרְמוֹן בָּעֵצִים.,Chestnuts can be found on trees in the winter.
chicken,A1,masculine,עוף,עוֹף,of,בעל כנפיים המשמש למזון,אנחנו אוכלים עוף בארוחה.,אֲנַחְנוּ אוֹכְלִים עוֹף בַּאֲרוּחָה.,We are eating chicken for the meal.
chicken pox,B2,feminine,"אבעבועות רוח",אַבְעַבּוּעוֹת רוּחַ,avabuót rúaħ,מחלת ילדות עם שלפוחיות בעור,ילדים רבים חלו באבבועות רוח בשנה שעברה.,יְלָדִים רַבִּים חָלוּ בְּאַבּוּעֻעוֹת רוּחַ בַּשָּׁנָה שֶׁעָבְרָה.,Many children caught chicken pox last year.
chickpea,B2,feminine,חימצה,חִמְצָה,ħimtsá,,החימצה היא מרכיב מרכזי בחומוס.,הַחִמְצָה הִיא מַרְכִּיב מֶרְכָּזִי בַּחוּמוּס.,The chickpea is a central ingredient in hummus.
China,A1,feminine,סין,סִין,sin,מדינה גדולה במזרח אסיה,סין היא מדינה גדולה.,סִין הִיא מְדִינָה גְּדוֹלָה.,China is a big country.
Chinese,A2,adjective,סיני,סִינִי,síni,שייך לסין,האוכל הסיני מתובל.,הַאוֹכֶל הַסִּינִי מְתוּבָּל.,Chinese food is spicy.
chocolate,A1,masculine,שוקולד,שׁוֹקוֹלָד,shokolád,מעדן מתוק מחומר הקקאו,אני אוהב שוקולד מתוק.,אֲנִי אוֹהֵב שׁוֹקוֹלָד מָתוֹק.,I love sweet chocolate.
"choice, election",A2,feminine,בחירה,בְּחִירָה,bħirá,אפשרות לבחור בין חלופות,הבחירה שלי היתה קשה.,הַבְּחִירָה שֶׁלִּי הָיְתָה קָשָׁה.,My choice was difficult.
choose,A2,verb,בחר,בָּחַר,baħár,בחר דבר מתוך כמה,הוא בחר את המנה האהובה עליו.,הוּא בָּחַר אֶת הַמָּנָה הָאֲהוּבָה עָלָיו.,He chose his favorite dish.
Christian,B1,adjective,נוצרי,נוֹצְרִי,notsrí,שייך לנצרות,הכנסיה היא מקום נוצרי.,הַכְּנֵסִיָּה הִיא מָקוֹם נוֹצְרִי.,The church is a Christian place.
Christmas,A2,masculine,חג המולד,חַג הַמוֹלָד,ħag hamolád,חג נוצרי לציון לידת ישו,בחג המולד נוהגים לקשט עץ.,בְּחַג הַמּוֹלָד נוֹהֲגִים לְקַשֵּׁט עֵץ.,"On Christmas, people decorate a tree."
Christmas Eve,B2,masculine,"ערב חג המולד",עֶרֶב חַג הַמּוֹלָד,érev ħág hamolád,,ערב חג המולד היה מלא בשמחה ונהרות אור.,עֶרֶב חַג הַמּוֹלָד הָיָה מָלֵא בְּשִׂמְחָה וּנְהָרוֹת אוֹר.,Christmas Eve was filled with joy and lights.
chuckle,B2,verb,הצטחק,הִצְטַחֵק,hitstakhek,,"כשהוא שמע את הסיפור, הוא הצטחק לעצמו.","כְּשֶׁהוּא שָׁמַע אֶת הַסִּפּוּר, הוּא הִצְטַחֵק לְעַצְמוֹ.","When he heard the story, he chuckled to himself."
cider,B2,masculine,סידר,סִידֵּר,sáider,,הם שתו סידר מתוק בחגיגה.,הֵם שָׁתוּ סִידֶר מָתוֹק בַּחֲגִיגָה.,They drank sweet cider at the celebration.
circular,B2,adjective,סיבובי,סִיבּוּבִי,sivuví,,המכונה זזה בתנועה סיבובית.,הַמְּכוֹנָה זָזָה בִּתְנוּעָה סִיבּוּבִית.,The machine moved in a circular motion.
citric acid,B2,feminine,"חומצת לימון",חוּמְצַת לִימוֹן,ħumtsát limón,,המתכון דרש הוספת חומצת לימון.,הַמַּתְכּוֹן דָּרַשׁ הוֹסָפַת חוּמְצַת לִימוֹן.,The recipe required adding citric acid.
city,A1,feminine,עיר,עִיר,ir,יישוב גדול שבו חיים אנשים,העיר הזאת יפה.,הָעִיר הַזֹּאת יָפָה.,This city is beautiful.
"city hall, town hall",B1,,"בניין עירייה",בִּנְיָן עִירִיָּה,binyán iriyá,מוסד עירוני לניהול ענייני עיר,העיריה נמצאת במרכז העיר.,הָעִירִיָּה נִמְצֵאת בְּמֶרְכַּז הָעִיר.,The city hall is located in the city center.
"class, grade",A1,feminine,כיתה,כִּתָּה,kitá,קבוצת תלמידים או דרגת לימוד,הכיתה שלי גדולה.,הַכִּתָּה שֶׁלִּי גְּדוֹלָה.,My class is big.
claustrophobia,B2,feminine,קלאוסטרופוביה,קְלַאוּסְטְרוֹפוֹבְיָה,klaustrofóbya,,היא סובלת מקלאוסטרופוביה ולכן נמנעת ממעליות.,הִיא סוֹבֶלֶת מִקְלָאוּסְטְרוֹפוֹבְּיָה וְלָכֵן נִמְנַעַת מִמַּעֲלִיּוֹת.,She suffers from claustrophobia and therefore avoids elevators.
clean,B1,verb,ניקה,נִיקָה,niká,הפך דבר לנקי,הוא ניקה את הבית לפני האורחים.,הוּא נִיקָּה אֶת הַבַּיִת לִפְנֵי הָאוֹרְחִים.,He cleaned the house before the guests arrived.
clean,A2,adjective,נקי,נָקִי,nakí,שאינו מלוכלך,החדר נקי ומסודר.,הַחֶדֶר נָקִי וּמְסֻדָּר.,The room is clean and tidy.
cleanliness,B1,masculine,נִקָיוֹן,נִקָּיוֹן,nikayón,מצב של ניקיון,הניקיון חשוב לבית בריא.,הַנִּקָּיוֹן חָשׁוּב לְבֵית בָּרִיא.,Cleanliness is important for a healthy home.
clear,A2,adjective,ברור,בָּרוּר,barúr,שניתן להבינו בקלות,ההסבר שלו היה ברור.,הַהֶסְבֵּר שֶׁלּוֹ הָיָה בָּרוּר.,His explanation was clear.
climate,B1,masculine,אקלים,אַקְלִים,aklím,מצב מזג האוויר הכללי לאורך זמן,האקלים בארץ הזאת חם ויובש.,הָאַקְלִים בָּאָרֶץ הַזֹּאת חַם וְיוֹבֵשׁ.,The climate in this country is hot and dry.
climate change,B2,masculine,"שינוי אקלים",שִׁינוּי אַקְלִים,shinúi aklím,,העולם מתמודד עם שינוי אקלים חריף.,הָעוֹלָם מִתְמוֹדֵד עִם שִׁנּוּי אַקְלִים חָרִיף.,The world is dealing with severe climate change.
climate control,B2,feminine,בקרת אקלים,בִּקֹּרֶת אַקְלִים,bakarát aklím,שליטה על תנאי האקלים,בקרת האקלים בבניין משפרת את הנוחות.,בַּקָּרַת הָאַקְּלִים בַּבִּנְיָן מְשַׁפֶּרֶת אֶת הַנּוֹחוּת.,Climate control in the building improves comfort.
"clock, watch",A1,masculine,שעון,שָׁעוֹן,shaón,מכשיר למדידת זמן,יש לי שעון ישן.,יֵשׁ לִי שָׁעוֹן יָשָׁן.,I have an old watch.
"close, near",A2,adjective,קרוב,קָרוֹב,karóv,שאינו רחוק,הבית שלנו קרוב לבית ספר.,הַבַּיִת שֶׁלָּנוּ קָרוֹב לַבֵּית סֵפֶר.,Our house is close to the school.
"close, shut",A2,verb,סגר,סָגַר,sagár,סגר דבר כך שלא ייפתח,הוא סגר את התיק.,הוּא סָגַר אֶת הַתִּיק.,He closed the bag.
closed,A2,adjective,סגור,סָגוּר,sagúr,שאינו פתוח,החנות היתה סגורה בחג.,הַחֲנוּת הָיְתָה סְגוּרָה בַּחֲג.,The store was closed on the holiday.
"closet, cabinet",A1,masculine,ארון ,אָרוֹן,arón,רהיט לאחסון בגדים וחפצים,הבגדים שלי בארון.,הַבְּגָדִים שֶׁלִּי בָּאָרוֹן.,My clothes are in the closet.
clothes,A1,masculine,בגדים,בְּגָדִים,bgadím,פרטי לבוש,אני קונה בגדים חדשים.,אֲנִי קוֹנֶה בְּגָדִים חֲדָשִׁים.,I'm buying new clothes.
cloud,A1,masculine,ענן,עָנָן,anán,אדי מים בשמיים,יש ענן לבן בשמים.,יֵשׁ עָנָן לָבָן בַּשָּׁמַיִם.,There is a white cloud in the sky.
cloudy,A2,adjective,מעונן,מְעוּנָן,miunán,שמכוסה בעננים,היום השמים מעוננים.,הַיּוֹם הַשָּׁמַיִם מְעוּנָּנִים.,The sky is cloudy today.
club,B1,masculine,מועדון,מוֹעֲדוֹן,moadon,מקום למפגשים או בילוי,אנחנו נפגשים במועדון הלילה.,אֲנַחְנוּ נִפְגָּשִׁים בְּמוֹעֲדוֹן הַלַּיְלָה.,We are meeting at the nightclub.
coal,B2,masculine,פחם,פֶּחָם,peħám,,הכפר חימם את בתיו באמצעות פחם.,הַכָּפָר חִימֵּם אֶת בָּתָיו בְּאֶמְצָעוּת פֶּחָם.,The village heated its homes using coal.
coat,A2,masculine,מעיל,מְעִיל,meíl,בגד עבה לחורף,בחורף אני לובש מעיל עבה.,בַּחוֹרֶף אֲנִי לוֹבֵשׁ מְעִיל עָבֶה.,"In winter, I wear a thick coat."
coefficient,C,masculine,מקדם,מְקַדֵּם,mekadém,מספר שמוכפל בנוסחה,המשוואה כללה מקדם מורכב.,הַמִּשְׁוָאָה כָּלְלָה מְקַדֵּם מֻרְכָּב.,The equation included a complex coefficient.
coffee,A1,masculine,קפה,קָפֶה,kafé,משקה חום מריח פולים טחונים,אני שותה קפה חם.,אֲנִי שׁוֹתֶה קָפֶה חַם.,I am drinking hot coffee.
"coffee house, cafe",A1,masculine,בית קפה,בֵּית קָפֶה,béit kafé,חסר דבר מסוים,אנחנו נפגשים בבית קפה.,אֲנַחְנוּ נִפְגָּשִׁים בְּבֵית קָפֶה.,We're meeting at the café.
"coin, currency",B1,masculine,מטבע,מַטְבֵּעַ,matbéa,יחידת כסף,הוא אסף מטבעות ישנות.,הוּא אָסַף מַטְבְּעוֹת יְשָׁנוֹת.,He collected old coins.
"coinage, idiom, metaphor",B2,masculine,מטבע לשון,מַטְבֵּעַ לָשׁוֹן,matbéa lashon,,“נשבר לי הלב” הוא מטבע לשון נפוץ.,״נִשְׁבַּר לִי הַלֵּב״ הוּא מַטְבֵּעַ לָשׁוֹן נָפוֹץ.,“Broke my heart” is a common idiom.
cold,A1,adjective,קר,קַר,kar,בעל טמפרטורה נמוכה,החורף קר מאוד.,הַחוֹרֶף קָר מְאוֹד.,Winter is very cold.
cold,A2,masculine,קור,קוֹר,kor,טמפרטורה נמוכה,בחרף הקור חזק מאוד.,בַּחֹרֶף הַקּוֹר חָזָק מְאוֹד.,"In winter, the cold is very strong."
collar,B2,masculine,צווארון,צַוָּארוֹן,tsavarón,,העניבה השתלבה עם צווארון החולצה.,הָעֲנִיבָה הִשְׁתַּלְּבָה עִם צַוָּארוֹן הַחֻלְצָה.,The tie matched the shirt’s collar.
collect,A2,verb,אסף,אָסַף,asáf,איסוף חפצים או אנשים,הוא אסף כמה ספרים מהספריה.,הוּא אָסַף כַּמָּה סֵפֶרִים מֵהַסִּפְרִיָּה.,He collected some books from the library.
collection,B1,masculine,אוסף,אוֹסֶף,ósef,קבוצת דברים שנאספו,לאוסף הזה יש שוי רב.,לָאוֹסֵף הַזֶּה יֵשׁ שֹׁוִי רָב.,This collection has great value.
college,B1,feminine,מכללה,מִכְלָלָה,miħlalá,מוסד להשכלה גבוהה,הוא למד במכללה ידועה.,הוּא לָמַד בְּמִכְלָלָה יְדֻועָה.,He studied at a well-known college.
"color, paint",A2,masculine,צבע,צֶבַע,tséva,חומר לצביעה או גוון,הצבע האהוב עלי הוא כחול.,הַצֶּבַע הָאָהוּב עָלַי הוּא כָּחוֹל.,My favorite color is blue.
colorful,B1,adjective,צבעוני,צִבְעוֹנִי,tsivoní,בעל הרבה צבעים,התמצורות היו צבעוניות ומשמחות.,הַתַּמְצוּרוֹת הָיוּ צִבְעוֹנִיּוֹת וּמְשַׁמְּחוֹת.,The decorations were colorful and cheerful.
"column, page",A2,masculine,עמוד,עַמוּד,amúd,עמוד ספר או בניין,התמונה נמצאת בעמוד שלוש.,הַתְּמוּנָה נִמְצֵאת בְּעַמּוּד שְׁלוֹשׁ.,The picture is on page three.
combat,B2,masculine,קרב,קְרָב,krav,,הקרב נמשך שעות רבות.,הַקְּרָב נִמְשַׁךְ שָׁעוֹת רַבּוֹת.,The battle lasted many hours.
come,A1,verb,בא,בָּא,ba,פועל המציין הגעה אל מקום,הוא בא לבית־הספר.,הוּא בָּא לְבֵית־הַסֵּפֶר.,He's coming to school.
comfort,B2,feminine,נוחות,נוֹחוּת,noħút,,המלון הציע רמת נוחות גבוהה.,הַמָּלוֹן הִצִּיעַ רַמַּת נוֹחוּת גְּבוֹהָה.,The hotel offered a high level of comfort.
"comic, comedic, comical",B1,adjective,קומי,קוֹמִי,kómi,בעל אופי מצחיק,הסרט היה קומי והצחיק את הצופים.,הַסֶּרֶט הָיָה קוֹמִי וְהִצְחִיק אֶת הַצּוֹפִים.,The movie was comical and made the audience laugh.
command,B2,masculine,צו,צוֹ,tsav,,השופט הוציא צו מניעה.,הַשּׁוֹפֵט הוֹצִיא צוֹ מְנִיעָה.,The judge issued an injunction.
"commander, minister",B1,masculine,שר,שַׂר,sar,מי שמפקד או שר בממשלה,השר החליט על מדיניות חדשה.,הַשַּׂר הֶחְלִיט עַל מְדִינִיּוֹת חֲדָשָׁה.,The minister decided on a new policy.
commandment,B2,feminine,מצווה,מִצְוָה,mitsvá,,המצווה מחייבת עזרה לחלשים.,הַמִּצְוָה מְחַיֶּיבֶת עֶזְרָה לַחֲלָשִׁים.,The commandment requires helping the weak.
comment,B2,feminine,תגובית,תְּגוּבִית,tguvit,,כתבת תגובית קצרה לידיעה בעיתון.,כָּתַבְתָּ תְּגוּבִית קְצָרָה לִידִיעָה בָּעִיתּוֹן.,You wrote a short comment on the newspaper article.
commentator,B2,masculine,פרשן,פַּרְשָׁן,parshán,,הפרשן ניתח את תוצאות הבחירות.,הַפַּרְשָׁן נִיתֵּחַ אֶת תּוֹצְאוֹת הַבְּחִירוֹת.,The commentator analyzed the election results.
"commerce, trade",B1,masculine,מסחר,מִסְחָר,misħár,פעילות כלכלית של קנייה ומכירה,המסחר בעולם גדל משנה לשנה.,הַמִּסְחָר בָּעוֹלָם גָּדֵל מִשָּׁנָה לְשָׁנָה.,Trade in the world is growing year by year.
"commercial, trade",B2,adjective,מסחרי,מִסְחָרִי,misħarí,,המרכז מסחרי מושך קונים רבים.,הַמֶּרְכָּז הַמִּסְחָרִי מוֹשֵׁךְ קוֹנִים רַבִּים.,The shopping center attracts many buyers.
communication,B1,feminine,תקשורת,תִּקְשׁוֹרֶת,tikshorét,קשר בין אנשים באמצעים שונים,תקשורת טובה חשובה ביחסים בין אנשים.,תִּקְשֹׁרֶת טוֹבָה חֲשׁוּבָה בְּיַחֲסִים בֵּין אֲנָשִׁים.,Good communication is important in relationships.
communism,B1,masculine,קומוניזם,קוֹמוּנִיזְם,komunízm,שיטת שלטון קומוניסטית,קומוניזם השפיע על ההיסטוריה של עמים רבים.,קָומוּנִיזְם הִשְׁפִּיעַ עַל הַהִסְטוֹרְיָה שֶׁל עַמִּים רַבִּים.,Communism influenced the history of many nations.
communist,B1,masculine,קומוניסט,קוֹמוּנִיסְט,komuníst,תומך בקומוניזם,הקומוניסט מאמין בשוויון כלכלי.,הַקּוֹמוּנִיסְט מַאֲמִין בְּשִׁוְיוֹן כַּלְכָּלִי.,The communist believes in economic equality.
community,B1,feminine,קהילה,קְהִילָה,k'hilá,קבוצת אנשים בעלי ערכים משותפים,הקהילה מתכננת אירוע גדול לחודש הבא.,הַקְּהִילָה מְתַכְנֶנֶת אֵרוּעַ גָּדוֹל לַחוֹדֶשׁ הַבָּא.,The community is planning a big event for next month.
"company, society",A2,feminine,חברה,חֶבְרָה,ħevrá,חבורה או מסגרת של אנשים,היא עובדת בחברה גדולה.,הִיא עוֹבֶדֶת בְּחֶבְרָה גְּדוֹלָה.,She works in a big company.
complete,A2,verb,שלם,שָׁלֵם,shalém,עשה דבר בשלמות,התקון הזה שלם ולא חסר דבר.,הַתִּקּוּן הַזֶּה שָׁלֵם וְלֹא חָסֵר דָּבָר.,This repair is complete and nothing is missing.
computer,A2,masculine,מחשב,מַחְשֵׁב,maħshév,מכשיר אלקטרוני לעיבוד מידע,המחשב החדש שלי מהיר.,הַמַּחְשֵׁב הֶחָדָשׁ שֶׁלִּי מָהִיר.,My new computer is fast.
concentrate,B1,verb,התרכז,הִתְרַכֵּז,hitrakéz,התמקד בדבר מה,"אני לא יכול לדבר עכשיו, אני מתרכז בעבודה.","אֲנִי לֹא יָכוֹל לְדַבֵּר עַכְשָׁיו, אֲנִי מִתְרַכֵּז בַּעֲבוֹדָה.","I can't talk right now, I am concentrating on work."
concentrate,B2,verb,ריכז,רִיכֵּז,rikéz,,המורה ריכז את התלמידים בכיתה.,הַמּוֹרֶה רִכֵּז אֶת הַתַּלְמִידִים בַּכִּתָּה.,The teacher concentrated the students in the classroom.
concentrated,B1,adjective,מרוכז,מְרוּכָּז,m'rukáz,מרוכז בדבר אחד,התלמיד היה מרוכז במבחן.,הַתַּלְמִיד הָיָה מְרֻכָּז בַּמִּבְחָן.,The student was concentrated on the exam.
concentration,B1,masculine,ריכוז,רִיכּוּז,rikúz,יכולת לרכז מחשבה,הריכוז במבחן חשוב כדי להצליח.,הַרִכּוּז בַּמִּבְחָן חָשׁוּב כְּדֵי לְהַצְלִיחַ.,Concentration during the exam is important for success.
"concept, notion",B2,masculine,מושג,מוּשָׂג,muság,,אין לי מושג איך פותרים את הבעיה הזו.,אֵין לִי מוּשָּׂג אֵיךְ פּוֹתְרִים אֶת הַבְּעָיָה הַזֹּאת.,I have no idea how to solve this problem.
condition,B1,masculine,תנאי,תְּנַאי,tnái,תנאי או כלל מחייב,אין תנאים טובים ללמידה בכיתה הזאת.,אֵין תְּנָאִים טוֹבִים לִלְמִידָה בַּכִּתָּה הַזֹּאת.,There are no good conditions for learning in this classroom.
"conductor, winner",B2,masculine,מנצח,מְנַצֵּחַ,mnatséaħ,,המנצח הוביל את התזמורת ביצירה מורכבת.,הַמְּנַצֵּחַ הוֹבִיל אֶת הַתִּזְמוֹרֶת בִּיצִירָה מוּרְכֶּבֶת.,The conductor led the orchestra in a complex piece.
congratulations,A2,phrase,מזל טוב,מַזָּל טוֹב,mazál tov,ברכה הנאמרת בשעת שמחה,מזל טוב לכם על החתונה!,מַזָּל טוֹב לָכֶם עַל הַחֲתוּנָּה!,Congratulations on your wedding!
"congregation, assembly",B1,feminine,כנסת,כְּנֶסֶת,knéset,קבוצה מתכנסת,הכנסת מחליטה על חוקים חדשים.,הַכְּנֶסֶת מַחֲלִיטָה עַל חוּקִים חֲדָשִׁים.,The congregation decides on new laws.
connected,B2,adjective,מחובר,מְחוּבָּר,mħubár,,הטלפון נשאר מחובר למטען כל הלילה.,הַטֵּלֵפוֹן נִשְׁאַר מְחוּבָּר לַמַּטְעֵן כָּל הַלַּיְלָה.,The phone remained connected to the charger all night.
conspiracy,B2,feminine,קונספירציה,קוֹנְסְפִּירַצְיָה,konspirátsya,,יש אנשים שמאמינים בקונספירציה נגד הממשלה.,יֵשׁ אֲנָשִׁים שֶׁמַּאֲמִינִים בְּקוֹנְסְפִּירַצְיָה נֶגֶד הַמֶּמְשָׁלָה.,There are people who believe in a conspiracy against the government.
