English,CEFR,gender,word,wordAudio,pronunciation,transliteration,definition,sentenceAudio,example,sentenceTranslation
mainly,A2,,בעיקר,X,בְּעִיקָּר,b'ikár,ברוב הפעמים,,"אני אוהב לקרוא, בעיקר ספרי מדע.","I like to read, mainly science books."
animal,B1,masculine,בעל חיים,,בַּעַל חַיִּים,báal ħayím,יצור החי בטבע,,בעל חיים זר נראה ביער.,A rare animal was seen in the forest.
inside,A1,,בפנים,X,בִּפְנִים,bifním,ירק עם קליפה חומה ותוך לבן חריף,X,"הספר בפנים, על השולחן.","The book is inside, on the table."
onion,A1,masculine,בצל,X,בָּצָל,batsál,כלי לאחסון נוזלים,X,אני לא אוהב בצל.,I don’t like onions.
bottle,A1,masculine,בקבוק,X,בַּקְבּוּק,bakbúk,חלק מהיום מהזריחה ועד הצהריים,X,הילד שותה מים מבקבוק.,The boy is drinking water from a bottle.
bottle,C,verb,בקבק,,בַּקְבּוּק,bikbék,מילא נוזל בתוך בקבוק,,החברה בקבקה את המשקאות במפעל.,The company bottled the drinks in the factory.
aloud,B1,,בקול רם,,בְּקוֹל רָם,bkól ram,בקול חזק,,"מי שרוצה להבין טוב, צריך לקרוא בקול רם.",Whoever wants to understand well should read aloud.
control,B2,feminine,בקרה,,בַּקָּרָה,bakará,פיקוח ובדיקה,,בקרה היא חלק חשוב בתוכניות ניהול.,Control is an important part of management programs.
soon,A2,adv,בקרוב,X,בְּקָרוֹב,b'karóv,בעתיד הקרוב,,בקרוב נפגש שוב.,We will meet again soon.
climate control,B2,feminine,בקרת אקלים,,בִּקֹּרֶת אַקְלִים,bakarát aklím,שליטה על תנאי האקלים,,בקרת האקלים בבניין משפרת את הנוחות.,Climate control in the building improves comfort.
request,A2,feminine,בקשה,X,בַּקָּשָׁה,bakashá,פנייה בבקשה מנומסת,,היא עשתה בקשה לקבלת עבודה.,She submitted a job application.
bar,A2,masculine,בר,X,בָּר,bar,מקום למכירת משקאות,,הלילה נצא לבר החדש.,"Tonight, we will go to the new bar."
"pure, clean",B1,adjective,בר,,בָּר,bar,טהור ונקי,,המים בנהר ברים ונקיים.,The water in the river is pure and clean.
"outside, wilderness",B1,,בר,,בָּר,bar,אזור פתוח בטבע,,הוא אהב לטיל בבר ולראות את הטבע.,He loved to hike outside and see nature.
lucky,B1,adjective,בר מזל,,בַּר מַזָּל,bar mazál,בעל מזל,,הוא בר מזל שזכה בהגרלה.,He is lucky to have won the lottery.
duck,A1,masculine,ברווז,X,בַּרוָוז,barváz,עוף מים בעל מקור רחב,X,הברווז שוחה באגם.,The duck is swimming in the lake.
duckling,A2,masculine,ברווזון,X,בַּרוַוזוֹן,barvazón,ברווז קטן,,הברווזון שוחה באגם.,The duckling is swimming in the lake.
blessed,B1,adjective,ברוך,,בָּרוּךְ,barúħ,אדם שקיבל ברכה,,הכתוב הזה ברוך ויפה.,This text is blessed and beautiful.
welcome,A2,masculine,ברוך הבא,X,בָּרוּךְ הַבָּא,barúħ habá,ברכה לאדם שהגיע,,ברוך הבא לביתי!,Welcome to my home!
welcome,A2,feminine,ברוכה הבאה,X,בְּרוּכָה הַבָּאָה,bruħá habaá,ברכה לאישה שהגיעה,,ברוכה הבאה לחתונה.,Welcome to the wedding.
welcome,A2,feminine,ברוכות הבאות,X,בְּרוּכוֹת הַבָּאוֹת,bruħót habaót,ברכה לנשים שהגיעו,,ברוכות הבאות לכינוס.,Welcome to the conference.
welcome,A2,masculine,ברוכים הבאים,X,בְּרוּכִים הַבָּאִים,bruħím habaím,ברכה לגברים שהגיעו,,ברוכים הבאים למופע.,Welcome to the show.
clear,A2,adjective,ברור,X,בָּרוּר,barúr,שניתן להבינו בקלות,,ההסבר שלו היה ברור.,His explanation was clear.
iron,B1,masculine,ברזל,,בַּרְזֶל,barzél,מתכת קשה,,הברזל הוא חומר חזק מאוד.,Iron is a very strong material.
healthy,A2,adjective,בריא,X,בָּרִיא,barí,שאינו חולה,,האוכל הזה בריא מאוד.,This food is very healthy.
"health, healthiness",A2,feminine,בריאות,X,בְּרִיאוּת,briút,מצב הגוף ללא מחלה,,הבריאות שלנו חשובה מאוד.,Our health is very important.
health-related,B1,adjective,בריאותי,,בְּרִיאוּתִי,b'ri'utí,שקשור לבריאות,,מזון בריאותי משפר את ההרגשה.,Healthy food improves well-being.
"pool, pond",A1,feminine,בריכה,X,בְּרֵיכָה,breħá,שטח מלא מים לרחצה או נוי,X,אנחנו הולכים לבריכה בקיץ.,We go to the pool in the summer.
"covenant, alliance",B1,feminine,ברית,,בְּרִית,brit,הסכם מחייב בין צדדים,,הברית בין המדינות חזקה.,The alliance between the countries is strong.
blessing,A2,feminine,ברכה,X,בְּרָכָה,braħá,מילות איחול או שבח,,היא אמרה לי ברכה לפני האכל.,She said a blessing before eating.
"lightning, shine",A2,masculine,ברק,X,בָּרָק,barák,הבזק אור חזק בשמיים בזמן סערה,,הברק האיר את השמים.,The lightning lit up the sky.
meat,A1,masculine,בשר,X,בָּשָׂר,basár,מזון שמקורו בבעלי חיים,X,אני אוכל בשר עם אורז.,I eat meat with rice.
daughter,A1,feminine,בת,X,בַּת,bat,ילדה או אישה צעירה ביחס להוריה,X,יש לי בת אחת.,I have one daughter.
virgin,C,masculine,בתול,,בָּתוּל,batúl,אדם שלא קיים יחסי מין,,הוא עדיין בתול בגיל מאוחר.,He is still a virgin at a late age.
virgin,B2,feminine,בתולה,,בְּתוּלָה,betulá,אישה שלא קיימה יחסים,,הבתולה חלמה על אהבה ראשונה.,The virgin dreamed of her first love.
"proud, gay",B1,adjective,גאה,,גֵּאֶה,geé,המרגיש גאווה,,הוא מרגיש גאה במורשת שלו.,He feels proud of his heritage.
geography,A2,feminine,גאוגרפיה,X,גֵּאוֹגְרַפְיָה,geográfya,חקר פני כדור הארץ ותופעותיו,,גאוגרפיה היא מקצוע מעניין.,Geography is an interesting subject.
pride,B1,feminine,גאווה,,גַּאֲוָה,gaavá,תחושת כבוד עצמי,,הוא הרגיש גאווה בהצלחה שלו.,He felt pride in his success.
geometry,A2,feminine,גאומטריה,X,גֵּאוֹמֶטְרִיָּה,geométrya,חקר הצורות והיחסים ביניהן,,בשיעור גאומטריה למדנו על משולשים.,"In geometry class, we learned about triangles."
back,A1,masculine,גב,X,גַּב,gav,החלק האחורי של הגוף,X,הגב שלי כואב.,My back hurts.
eyebrow,A2,feminine,גבה,X,גַּבָּה,gabá,שערות דקות מעל העין,,הגבה שלה דקה ויפה.,Her eyebrow is thin and beautiful.
"tall, high",A1,adjective,גבוה,X,גָּבוֹהַּ,gavóa,בעל גובה רב,X,המגדל גבוה מאוד.,The tower is very tall.
cheese,A1,feminine,גבינה,X,גְּבִינָה,gviná,מזון חלבי רך או קשה,X,אני אוהב גבינה לבנה.,I like white cheese.
cream cheese,B1,feminine,גבינת שמנת,,גְּבִינַת שֶׁמֶנֶת,gvinát shaménet,גבינה רכה למריחה,,אני אוהב לאכול גבינת שמנת עם לחם.,I like to eat cream cheese with bread.
hill,B1,feminine,גבעה,,גִּבְעָה,givá,שטח קרקע מוגבה,,הילדים טיפסו על הגבעה הגבוהה.,The children climbed the high hill.
man,A2,masculine,גבר,X,גֶּבֶר,géver,אדם ממין זכר,,הגבר הזה גבוה מאוד.,That man is very tall.
manly,B2,adjective,גברי,,גַּבְרִי,gavrí,בעל תכונות גבריות,,הוא נראה גברי ומרשים.,He looked manly and impressive.
lady,A2,feminine,גברת,X,גְּבֶרֶת,gvéret,אישה בנימוס או תואר כבוד,,הגברת מדברת בקול רך.,The lady speaks in a soft voice.
"big, great",A1,adjective,גדול,X,גָּדוֹל,gadól,בעל מידה גדולה או חשוב מאוד,X,הבית גדול מאוד.,The house is very big.
growth,B2,feminine,גְדִילָה,,גְּדִילָה,gdilá,תהליך של התפתחות וצמיחה,,גדילת הכלכלה צפויה להתייצב.,Economic growth is expected to stabilize.
grow,A1,verb,גדל,X,גָּדַל,gadál,עבר מתהליך של צמיחה,X,העץ גדל בגן.,The tree grows in the garden.
"tallness, height",A2,masculine,גובה,X,גֹּבַהּ,góva,גובהו של אדם או דבר,,הגבה של הבניין הזה מאה מטר.,The height of this building is one hundred meters.
"size, greatness",A2,masculine,גודל,X,גֹּדֶל,gódel,מידה או שיעור של דבר,,הגדל של השולחן לא מתאים לחדר.,The size of the table does not fit the room.
body,A1,masculine,גוף,X,גוּף,guf,המערכת הפיזית של יצור חי,X,הגוף צריך מים ואוכל.,The body needs water and food.
"bodily, physical",B2,adjective,גופני,,גּוּפָנִי,gufaní,שייך לגוף,,האמון הגופני חשוב לבריאות הנפש.,Physical training is important for mental health.
cub,B1,masculine,גור,,גּוּר,gur,צאצא של חיה,,הגור הקטן רץ אחרי אמו.,The cub runs after its mother.
kitten,B1,masculine,גור חתולים,,גּוּר חֲתוּלִים,gur ħatulím,חתול קטן צעיר,,הגור חתולים שיחק בחבל.,The kitten played with the string.
skyscraper,B2,masculine,גורד שחקים,,גוֹרֵד שְׁחָקִים,goréd shakím,בניין גבוה מאוד,,הגורד שחקים במרכז העיר נבנה בשנתיים בלבד.,The skyscraper in the city center was built in only two years.
"fate, destiny",B2,masculine,גורל,,גוֹרָל,goral,גורלו של אדם,,הוא האמין שכל מה שקורה נובע מן הגורל.,He believed that everything that happens comes from destiny.
fateful,C,adjective,גורלי,,גוֹרָלִי,goralí,שיש בו משמעות גורלית,,זה היה לילה גורלי שהכריע את חייו.,It was a fateful night that determined his life.
gas,A2,masculine,גז,X,גַּז,gaz,חומר דלק טבעי,,הגז במטבח נדלק.,The gas in the kitchen is on.
"race, tree trunk, stem",B2,masculine,גזע,,גֶּזַע,géza,סוג של עם או חלק בצמח,,הגזע הזה של העצים צומח מהר במיוחד.,This tree trunk grows especially fast.
racism,B2,feminine,גזענות,,גִּזְעָנוּת,gizanút,תפיסה של עליונות גזעית,,הגזענות היא תופעה מסוכנת שיש להילחם בה.,Racism is a dangerous phenomenon that must be fought.
racist,C,adjective,גזעני,,גִּזְעָנִי,gizaní,שונא על בסיס גזע,,הנאום שלו נחשב גזעני ופוגע.,His speech was considered racist and offensive.
valley,B2,masculine,גיא,,גַּיא,géi,שטח נמוך בין הרים,,הגיא הזה מלא בצמיחה.,This valley is full of vegetation.
hero,A2,masculine,גיבור,X,גִּבּוֹר,gibór,אדם אמיץ שעושה מעשים מיוחדים,,הגיבור של הספר חזק מאוד.,The hero of the book is very strong.
heroic,B1,adjective,גיבור,,גִּבּוֹר,gibór,בעל תכונות של גבורה,,הגבור נלחם בתוך השריפה.,The hero fought inside the fire.
grow,B1,verb,גידל,,גִּדֵּל,gidél,גרם לצמיחה של משהו,,הוא גידל פירות וירקות בגינתו.,He grew fruits and vegetables in his garden.
hell,B2,masculine,גיהנום,,גֵּיהִנּוֹם,gehinóm,מקום עונש לרשעים,,גיהינום היא מקום מפחד באמונות העממיות.,Hell is a frightening place in popular beliefs.
etymology,C,masculine,גיזרון,,גִּזְרוֹן,gizarón,חקר מקור המילים,,הספר הציג גיזרון של מילים קדומות.,The book presented the etymology of ancient words.
guitar,A1,feminine,גיטרה,X,גִּיטָרָה,gitára,כלי נגינה בעל מיתרים,X,אני מנגן על גיטרה.,I play the guitar.
"age, period",A1,masculine,גיל,X,גִּיל,gil,משך חיים או פרק זמן מסוים,X,גיל הילד הוא שש.,The child's age is six.
adolescence,B1,masculine,גיל ההתבגרות,,גִּיל הַהִתְבַּגְּרוּת,gíl hahitbagrút,שלב בחיי הנעורים,,גיל ההתבגרות יכול להיות קשה.,Adolescence can be difficult.
middle age,B2,masculine,גיל העמידה,,גִּיל הָעֲמִידָה,gíl ha'amidá,תקופת אמצע החיים,,בגיל העמידה אנשים רבים מתחילים לחשוב על שינוי קריירה.,In middle age many people begin to think about a career change.
garden,A1,feminine,גינה,X,גִּנָּה,giná,מעדן קפוא מתוק,X,הגינה מלאה פרחים.,The garden is full of flowers.
access,B2,feminine,גישה,,גִּישָׁה,gishá,גישה או דרך הגעה,,"ללא גישה נכונה, לא ניתן להגיע למידע המסתרי.","Without access, it is impossible to reach the confidential information."
wave,A2,masculine,גל,X,גַּל,gal,תנועה גדולה של מים בים,,הים מלא בגלים גדולים.,The sea is full of big waves.
heat wave,B1,masculine,גל חום,,גַּל חֹם,gal ħom,גל של חום קיצוני,,גל החום הזה עצום ומוזר.,This heat wave is intense and unusual.
sound wave,B2,masculine,גל קול,,גַּל קוֹל,gal kol,גלי קול,,גלי הקול נעצרים בקירים עבים.,Sound waves are absorbed by thick walls.
wheel,A2,masculine,גלגל,X,גַּלְגַּל,gálgal,חפץ עגול המסתובב,,הגלגלים של האופניים קטנים.,The wheels of the bicycle are small.
gear,B2,masculine,גלגל שיניים,,גַּלְגַּל שִׁנַּיִם,galgál shináyim,חלק במכונה להעברת תנועה,,הגלגל של השיניים צריך להסתובב בדיוק.,The gear must turn precisely.
"scab, crust",C,masculine,גלד,,גֶּלֶד,géled,שכבה קשה הנוצרת על פצע,,נפצע בראשו ונוצר גלד במקום.,"He was injured in the head, and a scab formed there."
pill,B2,feminine,גלולה,,גְּלוּלָה,glulá,כדור תרופה,,הרופא המליץ לקחת גלולה אחת ביום.,The doctor recommended taking one pill per day.
ice cream,A1,feminine,גלידה,X,גְּלִידָה,glidá,מילה המציינת תוספת,X,הגלידה קרוה ומתוקה.,The ice cream is cold and sweet.
kernel,B2,masculine,גלעין,,גַּרְעִין,gal'ín,חלק פנימי של פרי או זרע,,הגרעין הכללי של התא משפיע על הגן.,The kernel of this idea is deep and complex.
galaxy,B1,feminine,גלקסיה,,גַּלַקְסִיָּה,galaksia,מערכת כוכבים עצומה,,הגלקסיה מלאה בכוכבים.,The galaxy is full of stars.
surfboard,B1,masculine,גלשן,,גַּלְשָׁן,galshán,כלי לשיט בגלים,,הילד שט על הגלשן בים.,The boy surfed on the surfboard in the sea.
snowboard,B2,masculine,גלשן שלג,,גַּלְשָׁן שֶׁלֶג,galshán shéleg,כלי לספורט בשלג,,בנסיעה לשווייץ הוא ניסה גלשן שלג בפעם הראשונה.,On a trip to Switzerland he tried snowboarding for the first time.
"also, too",A1,adverb,גם,X,גַּם,gam,שטח עם צמחייה ועצים למשחק או מנוחה,X,גם אני רוצה גלידה.,I also want ice cream.
bell pepper,B2,feminine,גמבה,,גַּמְבָּה,gámba,ירק אדום מתוק,,הוא חתך גמבה לחתיכות קטנות.,He cut the bell pepper into small pieces.
garden,A1,masculine,גן,X,גַּן,gan,שטח קטן עם צמחייה ליד בית,X,יש לי גן קטן.,I have a small garden.
gene,B2,masculine,גן,,גַּן,gen,יחידת תורשה,,כל גן משפיע על התכונות שלנו.,Every gene affects our traits.
kindergarten,A2,masculine,גן ילדים,X,גַּן יְלָדִים,gan y'ladím,מוסד לגיל הרך,,הילדים בגן הילדים משחקים.,The children in kindergarten are playing.
thief,B1,masculine,גנב,,גָּנַב,ganáv,אדם שלוקח דבר שאינו שלו,,הגנב נמלט מן החנות.,The thief escaped from the store.
gardener,B1,masculine,גנן,,גַּנָּן,ganán,אדם המטפל בגינה,,הגנן שותל פרחים בגינה.,The gardener plants flowers in the garden.
vine,B2,feminine,גפן,,גֶּפֶן,géfen,צמח מטפס ליין,,הגפן מפרסמת ענבים בקיץ.,The vine produces grapes in the summer.
foreigner,A1,masculine,גר,X,גָּר,ger,אדם שאינו יליד המקום,X,הגר גר בעיר.,The foreigner lives in the city.
sock,A1,noun,גרב,X,גֶּרֶב,gérev,כיסוי לרגל,X,הגרב שלי אבד.,My sock got lost.
cause,B1,verb,גרם,,גָּרַם,garám,גרם למשהו לקרות,,המשאית גרמה לפקק תנועה.,The truck caused a traffic jam.
nucleus,B2,masculine,גרעין,,גַּרְעִין,garín,החלק המרכזי בתא,,גרעין הרעיון הזה עמק ומסובך.,The nucleus of the idea is profound and complicated.
nuclear,C,adjective,גרעיני,,גַּרְעִינִי,gariní,שייך לגרעין האטום,,הכוח הגרעיני מעורר ויכוחים פוליטיים.,Nuclear power sparks political debates.
rainy,A2,adjective,גשום,X,גָּשׁוּם,gashúm,שיש בו הרבה גשם,,היום גשום וקר בחוץ.,Today is rainy and cold outside.
rain,A1,masculine,גשם,X,גֶּשֶׁם,géshem,מים הנופלים מהשמיים,X,בחוץ יש גשם חזק.,There is heavy rain outside.
worry,A2,verb,דאג,X,דָּאַג,da'ág,הרגיש חשש או דאגה,,התלמיד דאג לעת המבחן.,The student worried about the exam.
worry,A2,feminine,דאגה,X,דְּאָגָה,d'agá,תחושת חשש או פחד,,"לפני המבחן, האשה חושבת על הדאגה שלה.","Before the exam, the woman is thinking about her worry."
"thing, item",A1,masculine,דבר,X,דָּבָר,davár,חפץ או רעיון שניתן לדבר עליו,X,יש לי דבר חשוב לומר.,I have an important thing to say.
plague,B2,masculine,דבר,,דָּבָר,déver,מחלה מדבקת קשה,,הדבר התפשט בימי הבינונים וגרם למות רבים.,The plague spread during the Middle Ages and caused many deaths.
leader,C,masculine,דבר,,דֶּבֶר,dabár,אדם מוביל ודובר בשם אחרים,,הוא נבחר להיות דבר הקבוצה.,He was chosen to be the leader of the group.
fish,A1,masculine,דג,X,דָּג,dag,יצור מים בעל סנפירים,X,דג שוחה במים.,The fish swims in the water.
flag,A1,masculine,דגל,X,דֶּגֶל,dégel,סמל בצורת בד עם צבעים וסימנים,X,הדגל כחול ולבן.,The flag is blue and white.
grain,B2,masculine,דגן,,דָּגָן,dagán,גרגרי תבואה,,כל דגן דורש תנאי גידול ייחודיים.,Every grain requires unique growing conditions.
bisexual,B2,adjective,דו מיני,,דּוּ־מִינִי,du miní,בעל משיכה לשני המינים,,הוא הודות דו-מיני ושמח בהזהות שלו.,He proudly identifies as bisexual.
ambiguous,C,masculine,דו משמעי,,דּוּ־מַשְׁמָעִי,dú mashmaí,בעל שתי משמעויות שונות,,המשפט יצא דו משמעי וגרם לבלבול.,The sentence came out ambiguous and caused confusion.
mail,A2,masculine,דואר,X,דּוֹאַר,dóar,מערכת לשליחת וקבלת מכתבים,,אני הולך לדואר לשלוח מכתב.,I am going to the post office to send a letter.
junk mail,B1,masculine,דואר זבל,,דוֹאַר זֶבֶל,dóar zével,דואר לא רצוי,,הדאר זבל מלא בפרסומות לא נדרשות.,The junk mail is full of unnecessary advertisements.
bear,A1,masculine,דוב,X,דּוֹב,dov,חיית בר גדולה עם פרווה,X,הדובה גדול וחזק.,The bear is big and strong.
"actually, exactly",B1,adverb,דווקא,,דַּוְקָא,dávka,"להיפך, דווקא כך",,"לא אוהב קפה, אבל דווקא הקפוץ טעים לי.","I don’t like coffee, but actually, cappuccino tastes good to me."
doctrine,C,feminine,דוקטרינה,,דוֹקְטְרִינָה,doktrina,שיטה או תורה רעיונית,,האוניברסיטה לימדה דוקטרינה פוליטית חדשה.,The university taught a new political doctrine.
generation,B1,masculine,דור,,דוֹר,dor,קבוצת אנשים בתקופה מסוימת,,הדור החדש משנה את העולם.,The new generation is changing the world.
generational,C,adjective,דורי,,דוֹרִי,dorí,קשור לדורות שונים,,יש פער דורי בין ההורים לילדים.,There is a generational gap between parents and children.
push,B1,verb,דחף,,דָּחַף,dakháf,דחף קדימה,,הוא דחף את הדלת בכח.,He pushed the door forcefully.
urge,B2,masculine,דחף,,דַּחַף,dákhaf,דחף פנימי,,הוא לא הצליח להתגבר על הדחף לדבר באמצע השיעור.,He could not overcome the urge to speak in the middle of the lesson.
bulldozer,B2,masculine,דחפור,,דַּחְפּוֹר,dakhpór,כלי כבד להזזת אדמה,,הדחפור פינה את ההריסות לאחר הסערה.,The bulldozer cleared the rubble after the storm.
enough,A1,,די,X,דַּי,dái,מילה המציינת כמות מספקת,X,"די, לא רוצה יותר.","Enough, I don't want more."
speak,A1,verb,דיבר,X,דִּיבֵּר,dibér,שוחח עם אחר בשפה,X,הוא דיבר עם המורה.,He spoke with the teacher.
digital,B1,adjective,דיגיטלי,,דִּיגִיטָלִי,digitáli,מבוסס על ספרות דיגיטלית,,זה משחק דיגיטלי.,This is a digital game.
discussion,B2,masculine,דיון,,דִּיּוּן,diyún,שיחה לדיון בנושא,,היה דיון מעמיק על מצב הארץ.,There was a deep discussion about the state of the country.
precision,B2,,דיוק,,דִּיּוּק,diyúk,דיוק בביצוע,,שגיאה קטנה בדיוק הביאה לתקלה גדולה.,A small mistake in precision led to a major malfunction.
fisherman,B2,masculine,דייג,,דַּיָּיג,dayág,אדם שתפקידו לדוג,,הדייג העלה רשת מלאה בדגים.,The fisherman pulled up a net full of fish.
depression,B2,masculine,דיכאון,,דִּכָּאוֹן,dikaón,מצב נפשי ירוד וקשה,,הדכאון הכבד משפיע על כל התחומים בחיים.,Severe depression affects all aspects of life.
"ruling, law",B1,masculine,דין,,דִּין,din,חוק או פסיקה משפטית,,הדיין קבע את הדין.,The judge determined the ruling.
dictator,B2,masculine,דיקטטור,,דִּיקְטָטוֹר,diktator,שליט יחיד בכוח,,הדיקטטור שלט במדינה ביד קשה.,The dictator ruled the country with an iron fist.
dictatorship,B2,feminine,דיקטטורה,,דִּיקְטָטוּרָה,diktatura,צורת שלטון ללא חופש,,הדיקטטורה דיכאה את האזרחים.,The dictatorship oppressed its citizens.
apartment,A1,feminine,דירה,X,דִּירָה,dirá,מבנה למגורים של משפחות,X,הדירה שלי קטנה ויפה.,My apartment is small and beautiful.
fuel,A2,masculine,דלק,X,דֶּלֶק,délek,נוזל הנשרף להנעת מנוע,,האוירון צריך דלק לטוס.,The airplane needs fuel to fly.
door,A1,feminine,דלת,X,דֶּלֶת,délet,חלק נייד שמאפשר כניסה ויציאה,X,הדלת פתוחה.,The door is open.
blood,A1,masculine,דם,X,דָּם,dam,הנוזל האדום הזורם בגוף,X,יש לי דם על היד.,I have blood on my hand.
democratic,B1,adjective,דמוקרטי,,דֵּמוֹקְרָטִי,demokráti,שייך לדמוקרטיה,,זה היה דיון דמוקרטי.,That was a democratic discussion.
democracy,B1,feminine,דמוקרטיה,,דֵּמוֹקְרָטְיָה,demokrátya,צורת שלטון שבה העם בוחר,,הדמוקרטיה מתירה לעם לבחור.,Democracy allows the people to choose.
opinion,A2,feminine,דעה,X,דֵּעָה,deá,מחשבה או השקפה,,יש לי דעה טובה.,I have a good opinion.
prejudice,B2,feminine,דעה קדומה,,דֵּעָה קְדוּמָה,de'á kdumá,דעה לא הוגנת מוקדמת,,לדעה קדומה אין מקום בחברה מודרנית.,Prejudice has no place in a modern society.
"mind, understanding",B2,feminine,דעת,,דַּעַת,dáat,הבנה ודעת,,"כדי להבין נושא עמוק, צריך לראות אותו בדעת פתוחה.","To truly understand a topic, one must approach it with an open mind."
page,A2,masculine,דף,X,דַּף,daf,דף יחיד מנייר,,אני קורא את הדף של הספר.,I am reading the page of the book.
December,A1,masculine,דצמבר,X,דֵּצֶמְבֶּר,detsémber,החודש השנים־עשר בלוח השנה הלועזי,X,בדצמבר יורד שלג באירופה.,"In December, snow falls in Europe."
"thin, skinny",B1,adjective,דק,,דַּק,dak,בעל גוף דק מאוד,,הנייר הזה דק מאוד.,This paper is very thin.
grammar,B2,masculine,דקדוק,,דִּקְדּוּק,dikdúk,חוקי השפה,,שגיאת דקדוק יכולה לשנות משמעות של משפט.,A small grammar mistake can change the meaning of a sentence.
grammatical,C,adjective,דקדוקי,,דִּקְדּוּקִי,dikdukí,שייך לדקדוק השפה,,המבנה של המשפט מוסבר בכללים דקדוקיים.,The structure of the sentence is explained by grammatical rules.
minute,A1,feminine,דקה,X,דַּקָּה,daká,שישים שניות,X,חכה דקה אחת.,Wait one minute.
stab,C,verb,דקר,,דָּקַר,dakár,נעץ כלי חד,,העבריין דקר את הקורבן ברחוב.,The criminal stabbed the victim in the street.
escalator,B2,masculine,דרגנוע,,דְּרַגְנוֹעַ,dragnóa,מדרגות נעות,,הדרגנוע מוביל את הנוסעים לקומה העליונה.,The escalator carries passengers to the upper floor.
south,A1,masculine,דרום,X,דָּרוֹם,daróm,כיוון בעולם,X,הדרום חם בקיץ.,The south is hot in the summer.
southern,B1,adjective,דרומי,,דָּרוֹמִי,dromí,שייך לדרום,,העיר באר שבע נמצאת בחלק הדרומי של הארץ.,The city of Be'er Sheva is located in the southern part of the country.
"road, way",A1,masculine,דרך,X,דֶּרֶךְ,déreħ,שביל או כביש שבו הולכים או נוסעים,X,הוא הלך בדרך הרחבה.,He walked on the wide road.
through,A1,preposition,דרך,X,דֶּרֶךְ,déreħ,מילת יחס המציינת מעבר בתוך מקום,X,אנחנו נכנסים דרך החלון.,We are entering through the window.
passport,A2,masculine,דרכון,X,דַּרְכּוֹן,darkón,מסמך רשמי לנסיעה בין מדינות,,לי יש דרכון ישראלי.,I have an Israeli passport.
grass,A2,masculine,דשא,X,דֶּשֶׁא,déshe,צמח ירוק המכסה את הקרקע,,הילדים יושבים על הדשא ואוכלים.,The children are sitting on the grass and eating.
religion,A2,feminine,דת,X,דָּת,dat,אמונה דתית,,הדת שלו יהודית.,His religion is Judaism.
religious,A2,adjective,דתי,X,דָּתִי,datí,שייך לאמונה דתית,,המורה שלי דתי.,My teacher is religious.
the,A1,,ה,X,הַ־,ha,מילת יידוע לפני שם עצם,X,הספר על השולחן.,The book is on the table.
United Nations,B2,feminine,האומות המאוחדות,,הָאוּמוֹת הַמְּאוּחָדוֹת,haumót hameuħadót,ארגון בינלאומי של מדינות,,האו״ם מתערב בסכסוכים בינלאומיים כדי לשמור על שלום.,The UN intervenes in international conflicts to preserve peace.
"do, are",A2,,האם,X,הַאִם,haím,מילת שאלה המציינת בירור,,האם אתה רוצה לבוא איתי?,Do you want to come with me?
"distinction, difference",A2,masculine,הבדל,X,הֶבְדֵּל,hevdél,שוני בין שני דברים,,יש הבדל גדול בין התכנון והמציאות.,There is a big difference between planning and reality.
promise,B1,feminine,הבטחה,,הַבְטָחָה,havtaħá,אמירה מחייבת לעתיד,,הוא נתן הבטחה לחברו.,He made a promise to his friend.
promise,B1,verb,הבטיח,,הִבְטִיחַ,hivtíakh,התחייב בדיבור,,הוא הבטיח לשמור על הסוד.,He promised to keep the secret.
"bring, carry, quote",A2,verb,הביא,X,הֵבִיא,heví,הביא דבר ממקום למקום או ציטט,,הוא הביא את הספר לכיתה.,He brought the book to the class.
understand,A1,verb,הבין,X,הֵבִין,hevín,הפנים משמעות או ידיעה,X,הוא לא הבין אותי.,He didn’t understand me.
"home, homeward",A1,,הביתה,X,הַבַּיְתָה,habáyta,כיוון פנימה אל מקום המגורים,X,אני הולך הביתה.,I am going home.
understanding,A2,feminine,הבנה,X,הֲבָנָה,havaná,ידיעה והבנה של דבר,,"ההבנה שלי טובה, אבל קשה.","My understanding is good, but difficult."
"New Testament, the",B2,feminine,הברית החדשה,,הַבְּרִית הַחֲדָשָׁה,habrít haħadashá,כתבי הקודש הנוצריים המאוחרים,,הברית החדשה נחשבת לכתבי קודש בעולם הנוצרי.,The New Testament is considered a holy scripture in the Christian world.
reaction,B2,feminine,הגבה,,הַגָּבָה,hagava,תגובה כימית או אחרת,,תגובתה הייתה מהירה וברורה.,Her reaction was quick and clear.
"telling, Haggadah",B2,feminine,הגדה,,הַגָּדָה,hagadá,סיפור מסורתי בפסח,,בהגדה של פסח מספרים את סיפור יציאת מצרים.,In the Passover Haggadah we tell the story of the Exodus from Egypt.
arrive,A2,verb,הגיע,X,הִגִּיעַ,higía,בא אל מקום מסוים,,הוא הגיע לתחנה בזמן.,He arrived at the station on time.
protect,A2,verb,הגן,X,הַגָּן,hegén,שמר מפני סכנה,,האב הגין על בניו.,The father protected his children.
"protection, defense",B1,feminine,הגנה,,הֲגָנָה,haganá,שמירה מפני סכנה,,ההגנה על הטבע חשובה לדורות הבאים.,The protection of nature is important for future generations.
arrival,B1,feminine,הגעה,,הַגִּיעָה,hagaa,פעולה של הגעה,,ההגעה לנמל התעופה היתה מאוחרת.,The arrival at the airport was late.
